number author
1 202
2 55
3 134
4 77
5 32
6 109
7 70
8 23
9 43
10 60
11 26
12 36
13 22
14 15
15 32
16 27
17 12
18 19
19 14
20 8
21 9
22 18
23 6
24 13
25 13
26 8
27 14
28 17
29 7
30 7
31 5
32 10
33 8
34 9
35 4
36 7
38 5
39 4
40 5
41 6
42 6
44 4
45 1
46 8
48 5
49 3
50 3
51 9
52 4
53 2
54 4
55 6
56 1
57 1
58 3
59 2
60 3
61 2
62 2
63 1
64 5
65 4
66 1
67 1
68 1
69 4
70 3
72 3
74 2
76 1
77 2
78 2
79 2
83 6
84 1
87 3
88 1
89 1
90 1
95 1
99 1
100 2
101 1
103 2
104 2
105 1
106 1
107 1
108 1
109 2
111 1
112 2
115 6
116 2
117 5
118 2
123 1
125 1
129 2
130 1
131 1
135 1
137 1
144 1
162 1
163 1
178 1
181 1
182 1
190 1
204 1
223 1
227 1
239 1
240 1
244 2
246 1
251 2
311 1
320 1
333 1
334 1
359 1
428 1
922 1

