k size
0 4206785
1 3776554
2 3078243
3 2467732
4 1973105
5 1581842
6 1277595
7 1039021
8 851454
9 702541
10 581634
11 486520
12 407215
13 344142
14 292368
15 247893
16 213850
17 183890
18 156914
19 135950
20 117903
21 101795
22 88022
23 75972
24 66395
25 58222
26 50459
27 42932
28 35840
29 31107
30 26145
31 21095
32 18119
33 11393
34 9781
35 8573
36 7056
37 6202
38 5539
39 4922
40 4439
41 3805
42 3304
43 3056
44 2645
45 2506
46 2373
47 2250
48 2029
49 1915
50 1667
51 1627
52 1576
53 1498
54 1470
55 1353
56 917
57 900
58 889
59 879
60 863
61 842
62 837
63 829
64 814
65 790
66 780
67 772
68 762
69 754
70 748
71 742
72 737
73 733
74 728
75 722
76 719
77 716
79 713
80 711
81 710
82 706
83 697
84 688
85 675
86 661
87 648
88 624
89 546
